full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"1100 Jones Dairy Road, Wake Forest, NC, 27587",-78.471861,35.9498475,920453,Wake County Schools,Jones Dairy Elementary,A,85,0,27587,Regular School,Year-Round Calendar,811,51,15.90196078,5349.09,659.07,2528.16,8536.32
"1100 New Grady Brown Rd, Hillsborough, NC, 27278",-79.125873,36.051311,680328,Orange County Schools,Grady Brown Elementary,C,63,0,27278,Regular School,Traditional Calendar,492,35,14.05714286,5645.51,668.18,4025.31,10339
"1100 S Stokes High Drive, Walnut Cove, NC, 27052",-80.240401,36.326134,850352,Stokes County Schools,South Stokes High,B,76,2.14,27052,Regular School,Traditional Calendar,561,51,11,6572.72,1127.27,1867.71,9567.7
"1100 South Elm Street, Greenville, NC, 27858",-77.361208,35.599343,740324,Pitt County Schools,C M Eppes Middle,D,45,0.72,27858,Regular School,Traditional Calendar,557,41,13.58536585,5616.83,1125.24,1932.31,8674.38
"1100 Stokes Avenue, Rocky Mount, NC, 27801",-77.7713841,35.9505403,640306,Nash-Rocky Mount Schools,Baskerville Elementary,D,46,0,27801,Regular School,Traditional Calendar,386,25,15.44,5964.99,1270.05,1721.59,8956.63
"1100 Waxhaw-Indian Tr. Rd., Waxhaw, NC, 28173",-80.7058119,34.9782031,900305,Union County Public Schools,New Town Elementary,A,88,0,28173,Regular School,Traditional Calendar,968,51,18.98039216,5200.55,578.12,2335.55,8114.22
"1101 Maxwell Drive, Raleigh, NC, 27603",-78.6534692,35.711946,920560,Wake County Schools,Smith Elementary,D,52,0.17,27603,Magnet School,Traditional Calendar,593,50,11.86,5349.09,659.07,2528.16,8536.32
"1101 North Centennial Street, High Point, NC, 27262",-80.003043,35.973671,410439,Guilford County Schools,Kirkman Park Elementary,F,38,0.35,27262,Magnet School,Traditional Calendar,289,25,11.56,5453.57,1087.81,2785.51,9326.89
"1101 Old Providence Rd, Waxhaw, NC, 28173",-80.7333474,34.9184728,900372,Union County Public Schools,Waxhaw Elementary,C,64,0.66,28173,Regular School,Traditional Calendar,609,35,17.4,5200.55,578.12,2335.55,8114.22
"1101 S Devereaux St, Goldsboro, NC, 27530",-77.9935434,35.3682397,960326,Wayne County Public Schools,Dillard Middle,F,25,0.41,27530,Regular School,Traditional Calendar,489,41,11.92682927,6171.58,1200.4,1188.1,8560.08
"1102 Barrett Street, Roanoke Rapids, NC, 27870",-77.642612,36.452095,421328,Roanoke Rapids City Schools,Manning Elementary School,C,69,0.16,27870,Regular School,Traditional Calendar,639,45,14.2,6091.44,1140.47,2045.87,9277.78
"1105 Kelly Drive, Sanford, NC, 27330",-79.1452451,35.471033,530335,Lee County Schools,Lee Early College,A,87,0.75,27330,Regular School,Traditional Calendar,265,12,22.08333333,5638.31,997.68,2040.07,8676.06
"1105 Montlieu Avenue, High Point, NC, 27262",-79.9852139,35.9766361,410469,Guilford County Schools,Montlieu Academy of Technology,C,55,0.15,27262,Magnet School,Traditional Calendar,669,47,14.23404255,5453.57,1087.81,2785.51,9326.89
"1106 Ann St, Wilmington, NC, 28401",-77.9346067,34.232698,650332,New Hanover County Schools,Gregory School of Math Science and Tech,F,35,0,28401,Magnet School,Traditional Calendar,386,33,11.6969697,5458.65,886.16,2834.7,9179.51
"1108 Glendale Drive, Greensboro, NC, 27406",-79.8234499,36.011131,410316,Guilford County Schools,Allen Middle,C,57,2.15,27406,Regular School,Year-Round Calendar,652,40,16.3,5453.57,1087.81,2785.51,9326.89
"1108 North Drive, Goldsboro, NC, 27530",-77.9634852,35.3873313,960390,Wayne County Public Schools,North Drive Elementary,D,44,0,27530,Regular School,Traditional Calendar,425,35,12.14285714,6171.58,1200.4,1188.1,8560.08
"1109 Salem Crossing Rd, Kernersville, NC, 27284",-80.0887986,36.0785724,340326,Forsyth County Schools,Caleb's Creek Elementary,C,67,0,27284,Regular School,Traditional Calendar,779,45,17.31111111,5616.37,1080.06,2335.59,9032.02
"111 Cornelia Dr, Lexington, NC, 27292",-80.2392592,35.8171913,291308,Lexington City Schools,Charles England Elementary School,C,55,0,27292,Regular School,Traditional Calendar,434,29,14.96551724,6390.95,1615.39,1844,9850.34
"111 Elizabeth Drive NW, Lenoir, NC, 28645",-81.539501,35.936797,140388,Caldwell County Schools,Valmead Elementary,C,55,0.57,28645,Regular School,Traditional Calendar,175,16,10.9375,6184.32,971.52,1797.03,8952.87
"1110 East Central Avenue, Raeford, NC, 28376",-79.205574,34.9773629,470443,Hoke County Schools,SandHoke Early College High,A,85,0.6,28376,Regular School,Traditional Calendar,333,14,23.78571429,6446.15,1145.84,1062.51,8654.5
"1110 East Washington Street, Greensboro, NC, 27401",-79.773987,36.068205,410586,Guilford County Schools,Washington Elementary,D,41,0.29,27401,Magnet School,Traditional Calendar,343,26,13.19230769,5453.57,1087.81,2785.51,9326.89
"1111 Plott Creek Road, Waynesville, NC, 28786",-83.0140953,35.4793814,440348,Haywood County Schools,Hazelwood Elementary,C,65,0.22,28786,Regular School,Traditional Calendar,459,33,13.90909091,5713.24,1184.68,2459.2,9357.12
"1111 SE Maynard Road, Cary, NC, 27511",-78.7655297,35.7810182,920402,Wake County Schools,East Cary Middle,B,74,0.39,27511,Regular School,Year-Round Calendar,1030,66,15.60606061,5349.09,659.07,2528.16,8536.32
"11135 NC Hwy 27 West, Lillington, NC, 27546",-78.988864,35.335885,430386,Harnett County Schools,Western Harnett Middle,C,63,0,27546,Regular School,Traditional Calendar,678,43,15.76744186,5730.98,945.13,1423.2,8099.31
"1115 Bingham Drive, Fayetteville, NC, 28304",-78.9834365,35.0381295,260320,Cumberland County Schools,Brentwood Elementary,C,61,0,28304,Regular School,Traditional Calendar,539,43,12.53488372,5413.29,1180.42,1671.5,8265.21
"1115 Roberts Grove Road, Dunn, NC, 28334",-78.5339811,35.167021,820354,Sampson County Schools,Midway Middle,C,68,0.31,28334,Regular School,Traditional Calendar,647,38,17.02631579,6364.61,1226.2,1263.02,8853.83
"11161 East Old Hwy 64, Lexington, NC, 27292",-80.1005543,35.732407,290364,Davidson County Schools,Silver Valley Elementary,C,62,0.8,27292,Regular School,Traditional Calendar,251,21,11.95238095,5611.71,782.5,1626.28,8020.49
"112 E Foy St, Richlands, NC, 28574",-77.5401126,34.8987222,670356,Onslow County Schools,Trexler Middle,C,65,0.14,28574,Regular School,Traditional Calendar,726,41,17.70731707,5247.34,697.11,2055.04,7999.49
"112 Gary Street, Fallston, NC, 28042",-81.4995342,35.4262427,230340,Cleveland County Schools,Fallston Elementary,C,60,0.36,28042,Regular School,Traditional Calendar,563,39,14.43589744,5967.87,1248.84,2035.02,9251.73
"112 State Hwy 80 South, Burnsville, NC, 28714",-82.2037525,35.9102894,995328,Yancey County Schools,Micaville Elementary,B,77,0,28714,Regular School,Traditional Calendar,169,14,12.07142857,7230.17,1297.05,2203,10730.22
"11201 Old Statesville Rd, Huntersville, NC, 28078",-80.833625,35.372836,600480,Charlotte-Mecklenburg Schools,North Mecklenburg High,C,61,1.42,28078,Regular School,Traditional Calendar,1972,114,17.29824561,5227.1,942.34,2352.27,8521.71
